entity_name,entity_type
Azamat Safarov,Individual
Dmitriy Konstantinovich Smirnov,Individual
Artem Viktorovich Yakubets,Individual
Ivan Dmitriyevich Tuchkov,Individual
Andrey Plotnitskiy,Individual
Dmitriy Alekseyevich Slobodskoy,Individual
Igor Olegovich Turashev,Individual
Denis Igorevich Gusev,Individual
Ooo Optima,Entity
Ooo Treid-Invest,Entity
Tatiana Shevchuk,Individual
Aleksei Bashlikov,Individual
Ruslan Zamulko,Individual
David Guberman,Individual
Carlos Alvares,Individual
Georgios Manidis,Individual
Evil Corp,Entity
Ooo Biznes-Stolitsa,Entity
Kirill Alekseyevich Slobodskoy,Individual
Ballito Bay Shipping Incorporated,Entity
Proper In Management Incorporated,Entity
Maksim Viktorovich Yakubets,Individual
Gulsara Burkhonova,Individual
Iliana Josefa Ruzza Teran,Individual
Large Range Limited,Entity
Offiscoop Nv,Entity
Bsqrd Limited,Entity
Hassan Tabaja,Individual
Carol Bealexis Padilla De Arretureta,Individual
Atul Gupta,Individual
Wildin Tulio Jui Escobar,Individual
Juan Carlos Cruz Ovalle,Individual
Jose Juan Suniga Rodriguez,Individual
Multiservicios Y Finca El Encanto,Entity
Star Market Melanye,Entity
Jc Car Audio,Entity
Rancho La Dorada,Entity
Voltra Transcor Energy Bvba,Entity
Wael Bazzi,Individual
Limited Liability Company Non-Bank Credit Organization Russian Financial Society,Entity
Banco Central De Venezuela,Entity
Jorge Alberto Arreaza Montserrat,Individual
Muhannad Mushtaq Talib Zghayir Karhout Al-Rawi,Individual
Mushtaq Talib Zughayr Al-Rawi,Individual
Umar Talib Zughayr Al-Rawi,Individual
Abd-Al-Rahman 'Ali Husayn Al-Ahmad Al-Rawi,Individual
Halima Adan Ali,Individual
Al-Ard Al-Jadidah Money Exchange Company,Entity
Jennifer Navigation Limited,Entity
Walid Talib Zughayr Al-Rawi,Individual
Irgc Ground Forces,Entity
Irgc Navy,Entity
Sergey Leonidovich Kossiev,Individual
Ruslan Geremeyev,Individual
Elena Anatolievna Trikulya,Individual
Abuzayed Vismuradov,Individual
Terek Special Rapid Response Team,Entity
Muhammad Abd-Al-Qadir Mutni Assaf Al-Rawi,Individual
Mohammad Mahdi Da'Emi Attaran,Individual
Lebra Moon General Trading Llc,Entity
