entity_name,entity_type
IRGC GROUND FORCES,Entity
IRGC NAVY,Entity
"EBRAHIMI, Ayatollah",Individual
IRANIAN ATLAS COMPANY,Entity
ANSAR BANK BROKERAGE COMPANY,Entity
ANSAR INFORMATION TECHNOLOGY COMPANY,Entity
ANSAR EXCHANGE,Entity
"ATABAKI, Alireza",Individual
ZAGROS PARDIS KISH,Entity
"'ABD AL-HAMID AL-ASADI, Makki Kazim",Individual
SOUTH WEALTH RESOURCES COMPANY,Entity
"HAJIZADEH, Amir Ali",Individual
"PAKPOUR, Mohammad",Individual
"OZMA'I, Ali",Individual
"RAVANKAR, Mansur",Individual
"BADIN, Yadollah",Individual
"GHOLAMSHAHI, Abbas",Individual
"ZIRAHI, Ramezan",Individual
"AL-ZAYDI, Shibl Muhsin 'Ubayd",Individual
ZAYNABIYOUN BRIGADE,Entity
FATEMIYOUN DIVISION,Entity
GLOBAL VISION GROUP,Entity
"ALCHWIKI, Mhd Amer",Individual
"SAJJAD, Rasoul",Individual
"YAGHOUBI MIAB, Hossein",Individual
"SABURINEZHAD, Hasan",Individual
AL KHAMAEL MARITIME SERVICES,Entity
"MUSAVIR, Sayyed Yaser",Individual
RECONSTRUCTION ORGANIZATION OF HOLY SHRINES IN IRAQ,Entity
"PELARAK, Hassan",Individual
"FADAKAR, Alireza",Individual
"SHOUSHTARIPOUSTI, Masoud",Individual
"GHASEMZADEH, Mehdi",Individual
BAHJAT AL KAWTHAR COMPANY FOR CONSTRUCTION AND TRADING LTD.,Entity
NATIONAL DEVELOPMENT FUND OF IRAN,Entity
"SOLEIMANI, Gholamreza",Individual
"IZADI, Muhammad Sa'id",Individual
ISLAMIC REVOLUTIONARY GUARD CORPS AEROSPACE FORCE SELF SUFFICIENCY JIHAD ORGANIZATION,Entity
ISLAMIC REVOLUTIONARY GUARD CORPS RESEARCH AND SELF-SUFFICIENCY JEHAD ORGANIZATION,Entity
FORENT TECHNIK GMBH,Entity
PRINTING TRADE CENTER GMBH,Entity
"SEIF, Mahmoud",Individual
TEJARAT ALMAS MOBIN HOLDING,Entity
PARDAZESH TASVIR RAYAN CO.,Entity
"HEIDARI, Reza",Individual
"OWHADI, Mohammad Ebrahim",Individual
"TEHRANI, Sayyed Mohammad Ali Haddadnezhad",Individual
"AZARPISHEH, Mehdi",Individual
"SHIR AMIN, Javad Bordbar",Individual
"KAZEMABAD, Mahmud Bagheri",Individual
"JA'FARI, Mohammad Agha",Individual
"NIKBAKHT, Mas'ud",Individual
"NAJAFPUR, Sa'id",Individual
"KHODA'I, Mohammad Hasan",Individual
"AMINI, Meghdad",Individual
"VALADZAGHARD, Mohammadreza Khedmati",Individual
"SALEHI, Foad",Individual
JAHAN ARAS KISH,Entity
RASHED EXCHANGE,Entity
JOINT PARTNERSHIP OF MOHAMMADREZA KHEDMATI AND ASSOCIATES,Entity
"KAREEM, Aras Habib",Individual
AL-BILAD ISLAMIC BANK FOR INVESTMENT AND FINANCE P.S.C.,Entity
"MONZAVI, Azim",Individual
"SHAKERI ASHTIJEH, Mohammad",Individual
"HAJI HOSSEINI, Mojtaba",Individual
"HAJI HOSSEINI, Mostafa",Individual
"NIKAEEN RAVARI, Amir Hossein",Individual
AFKAR SYSTEM YAZD COMPANY,Entity
"AHMADI, Mansour",Individual
"AGHA-AHMADI, Ali",Individual
NAJEE TECHNOLOGY HOOSHMAND FATER LLC,Entity
"AGHA AHMADI, Mohammad",Individual
"MAHDAVI, Mo'in",Individual
"RASHIDI-BARJINI, Aliakbar",Individual
"KHATIBI AGHADA, Ahmad",Individual
"MURAJ, Yousef Ali",Individual
"MASJEDI, Iraj",Individual
"IRLU, Hasan",Individual
"HEMMATIAN, Ali",Individual
"SAFDARI, Masoud",Individual
"MEHRABI, Abdollah",Individual
"AGHAJANI, Saeed",Individual
"SHAHLAI, Abdul Reza",Individual
"SAFAVI, Yahya Rahim",Individual
ISLAMIC REVOLUTIONARY GUARD CORPS,Entity
"FORUZANDEH, Ahmed",Individual
ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE,Entity
"REZAIE, Morteza",Individual
"AHMADIAN, Ali Akbar",Individual
"SOLEIMANI, Qasem",Individual
"HEJAZI, Mohammad",Individual
KHATAM OL ANBIA GHARARGAH SAZANDEGI NOOH,Entity
ORIENTAL OIL KISH,Entity
SEPASAD ENGINEERING COMPANY,Entity
GHORB NOOH,Entity
OMRAN SAHEL,Entity
SAHEL CONSULTANT ENGINEERS,Entity
HARA COMPANY,Entity
GHARARGAHE SAZANDEGI GHAEM,Entity
GHORB KARBALA,Entity
BASIJ RESISTANCE FORCE,Entity
TIDEWATER MIDDLE EAST CO.,Entity
MEHR-E EQTESAD-E IRANIAN INVESTMENT COMPANY,Entity
MEHR BANK,Entity
"FATTAH, Parviz",Individual
ANSAR BANK,Entity
"AGHAJANI, Hosein",Individual
"TABATABAEI, Sayyid Ali Akbar",Individual
"GHANI, Esmail",Individual
"IRAN MARINE INDUSTRIAL COMPANY, SADRA",Entity
"DEEP OFFSHORE TECHNOLOGY COMPANY,  P.J.S.",Entity
"ARBABSIAR, Manssor",Individual
"ABDOLLAHI, Hamed",Individual
